label,channel_mode,feature_mode,task_mode,is_sig_session,best_abs_r,mean_abs_r,n_stage1,n_stage2,rep_band,rep_metric,rep_quantum_state,rep_r,rep_abs_r,rep_p,rep_q_fdr
P1,14ch,20corr,30task,1,0.48533251331571503,0.15554586789118974,1,1,Delta,mean,p00,0.48533251331571503,0.48533251331571503,0.006556564172190115,0.006556564172190115
P10,14ch,20corr,30task,0,0.34728325017165906,0.1209761661207341,0,0,Theta,mean,p01,0.34728325017165906,0.34728325017165906,0.06006379105205205,
P11,14ch,20corr,30task,1,0.4412100095712004,0.13173577789788807,1,1,Alpha,mean,p00,-0.4412100095712004,0.4412100095712004,0.014661933649178139,0.014661933649178139
P12,14ch,20corr,30task,0,0.23556045512034565,0.12232080143888265,0,0,Delta,mean,p00,-0.23556045512034565,0.23556045512034565,0.2101626417913306,
P13,14ch,20corr,30task,1,0.48002021189745814,0.16469632060955885,2,2,Theta,mean,p00,-0.48002021189745814,0.48002021189745814,0.007263771526203811,0.014527543052407622
P14,14ch,20corr,30task,0,0.30449988251651566,0.15630880931538124,0,0,Gamma,mean,p00,-0.30449988251651566,0.30449988251651566,0.10182614847708196,
P15,14ch,20corr,30task,0,0.3315670714738993,0.16648467461508576,0,0,Theta,mean,p11,0.3315670714738993,0.3315670714738993,0.07346655657669711,
P16,14ch,20corr,30task,1,0.4018237248521444,0.19609863164284416,2,2,Theta,mean,p00,0.4018237248521444,0.4018237248521444,0.027730840654005467,0.03904875788505513
P17,14ch,20corr,30task,0,0.28411336066645576,0.12861987716950457,0,0,Gamma,mean,p10,0.28411336066645576,0.28411336066645576,0.1281136985271895,
P18,14ch,20corr,30task,0,0.2732742704293672,0.14292564439172398,0,0,Gamma,mean,p11,0.2732742704293672,0.2732742704293672,0.14397055686930205,
P19,14ch,20corr,30task,1,0.5278740785198948,0.2150711617016638,3,3,Beta,mean,p10,0.5278740785198948,0.5278740785198948,0.0027171265068122166,0.008151379520436649
P2,14ch,20corr,30task,1,0.37543537271095895,0.1716588887408807,2,2,Alpha,mean,p01,0.37543537271095895,0.37543537271095895,0.040910217456146515,0.045813277686573006
P20,14ch,20corr,30task,0,0.2152114445756491,0.07989541482553057,0,0,Gamma,mean,p10,-0.2152114445756491,0.2152114445756491,0.25340419937547914,
P21,14ch,20corr,30task,0,0.2870067729175668,0.13540758462341684,0,0,Theta,mean,p00,0.2870067729175668,0.2870067729175668,0.12410676010983984,
P22,14ch,20corr,30task,0,0.22752822466199513,0.09333152196595343,0,0,Delta,mean,p11,0.22752822466199513,0.22752822466199513,0.22658309824769607,
P23,14ch,20corr,30task,0,0.3074252605440866,0.11634972656643447,0,0,Delta,mean,p11,0.3074252605440866,0.3074252605440866,0.09841494264538297,
P24,14ch,20corr,30task,0,0.25390356176199025,0.0744473912540471,0,0,Delta,mean,p01,0.25390356176199025,0.25390356176199025,0.17576692581915865,
P25,14ch,20corr,30task,0,0.3503669749675304,0.11237404633124208,0,0,Beta,mean,p00,-0.3503669749675304,0.3503669749675304,0.05767475637591604,
P26,14ch,20corr,30task,0,0.3504279207029416,0.17712605646223833,0,0,Alpha,mean,p11,0.3504279207029416,0.3504279207029416,0.057628304110331555,
P3,14ch,20corr,30task,0,0.28183492163258983,0.1286332321588939,0,0,Delta,mean,p01,-0.28183492163258983,0.28183492163258983,0.13133527135464648,
P4,14ch,20corr,30task,1,0.42998109451150124,0.18844342026615443,4,4,Beta,mean,p00,0.42998109451150124,0.42998109451150124,0.017712715168616076,0.037502705897620586
P5,14ch,20corr,30task,0,0.3428875419025282,0.19020226537898874,0,0,Gamma,mean,p10,-0.3428875419025282,0.3428875419025282,0.06360248671228694,
P6,14ch,20corr,30task,0,0.33574516985603237,0.1324844839727122,0,0,Alpha,mean,p01,-0.33574516985603237,0.33574516985603237,0.06969701050239296,
P7,14ch,20corr,30task,0,0.32930060678455664,0.19442935467724948,0,0,Gamma,mean,p10,0.32930060678455664,0.32930060678455664,0.07557627563642934,
P8,14ch,20corr,30task,1,0.5073559166073729,0.16973800491015997,2,2,Beta,mean,p11,-0.5073559166073729,0.5073559166073729,0.004213715299209451,0.008427430598418903
P9,14ch,20corr,30task,0,0.21270577587278872,0.10754128641740739,0,0,Gamma,mean,p11,0.21270577587278872,0.21270577587278872,0.25910593686026134,
